male.id, female.id, start.time, end.time, proximity
12, 112, 1.585e-05, 0.0465907, 0
19, 143, 0.00010784, 2.97449, 0
41, 130, 0.00010841, 0.822477, 3
22, 129, 0.00011055, 1.41097, 0
42, 106, 0.00011579, 2.9496, 0
22, 122, 0.00015456, 1.22668, 0
15, 150, 0.00015931, 2.04179, 0
47, 129, 0.00022426, 1.61548, 0
38, 133, 0.00024512, 12.1765, 0
16, 124, 0.00061832, 1.53605, 1
29, 137, 0.00064168, 0.21548, 0
14, 126, 0.00065098, 2.94038, 0
29, 121, 0.00102126, 0.610901, 0
4, 125, 0.001091, 0.909505, 1
23, 105, 0.00113435, 0.374878, 0
10, 113, 0.00113442, 4.58842, 1
44, 135, 0.00117312, 0.00203071, 3
2, 104, 0.00118462, 5.34646, 0
43, 102, 0.00126502, 5.78416, 0
21, 123, 0.00146058, 0.64054, 1
39, 148, 0.00157896, 0.039592, 0
39, 122, 0.00163749, 2.1836, 0
27, 117, 0.00173734, 0.00889559, 3
48, 146, 0.00180787, 2.14525, 0
28, 119, 0.00181818, 3.13903, 2
21, 136, 0.00256089, 0.455702, 2
8, 109, 0.00261672, 0.183923, 1
34, 141, 0.00277554, 0.231262, 1
25, 150, 0.00287201, 1.27427, 0
3, 110, 0.00306646, 11.0947, 0
44, 149, 0.00447621, 0.795691, 1
48, 138, 0.00458507, 0.982725, 0
47, 137, 0.00483626, 6.83568, 0
12, 146, 0.00550715, 0.0600131, 1
24, 110, 0.0056577, 6.1009, 0
10, 133, 0.00598989, 1.40124, 0
41, 149, 0.0062091, 0.849883, 1
25, 139, 0.00777677, 2.00959, 0
49, 134, 0.00901835, 0.759912, 2
44, 115, 0.00953749, 0.363413, 3
18, 132, 0.00973556, 6.50258, 0
1, 105, 0.00974719, 3.25315, 0
27, 104, 0.0100046, 0.289185, 1
43, 112, 0.013348, 1.01147, 0
3, 138, 0.0136515, 1.04752, 0
24, 130, 0.0173861, 0.315034, 0
4, 117, 0.018265, 0.0456627, 2
18, 111, 0.0197521, 2.29283, 1
14, 119, 0.0207423, 0.524853, 0
21, 135, 0.0275052, 0.576707, 2
23, 113, 0.0299881, 0.704037, 3
1, 143, 0.0325615, 0.889548, 0
30, 105, 0.036359, 2.94135, 0
44, 140, 0.0390803, 0.262598, 3
28, 148, 0.0426397, 0.926917, 0
24, 126, 0.0479185, 0.179905, 0
23, 141, 0.0557064, 0.105155, 3
39, 109, 0.0591868, 0.796093, 0
19, 139, 0.0605644, 0.974571, 0
22, 125, 0.0618263, 0.215378, 0
12, 134, 0.0653488, 1.34934, 0
42, 117, 0.0704378, 0.643518, 0
43, 117, 0.0752503, 0.114065, 1
8, 146, 0.092349, 0.148913, 2
47, 121, 0.0971593, 0.277263, 0
49, 126, 0.105147, 0.34488, 3
48, 117, 0.129187, 0.234656, 0
4, 115, 0.131411, 0.186428, 2
38, 104, 0.156429, 0.261064, 1
14, 135, 0.18415, 1.54532, 0
34, 150, 0.185381, 1.00325, 0
12, 148, 0.193812, 0.786112, 0
27, 123, 0.195008, 0.265651, 2
8, 109, 0.205715, 1.13024, 1
8, 129, 0.21237, 0.246059, 1
28, 146, 0.237324, 0.330752, 2
8, 125, 0.241584, 0.367796, 1
34, 141, 0.243749, 1.27273, 1
48, 136, 0.252398, 2.71162, 0
4, 117, 0.258174, 0.323379, 2
4, 109, 0.262284, 0.292067, 1
38, 143, 0.262343, 0.742724, 1
48, 106, 0.2929, 0.855314, 0
27, 110, 0.293892, 0.534418, 3
4, 121, 0.306566, 0.378473, 2
30, 104, 0.308949, 0.493675, 0
2, 119, 0.309599, 1.17537, 2
43, 140, 0.313261, 1.48233, 1
15, 141, 0.32509, 0.427796, 2
27, 115, 0.350011, 1.00621, 3
16, 104, 0.353977, 0.888296, 0
4, 132, 0.385763, 1.15725, 0
39, 124, 0.398214, 1.23513, 0
8, 115, 0.405399, 1.32585, 2
44, 146, 0.407031, 1.89836, 3
24, 126, 0.410738, 1.05928, 0
44, 125, 0.410764, 0.417935, 2
3, 121, 0.431693, 0.656058, 0
15, 105, 0.44559, 0.90798, 0
12, 123, 0.445643, 1.43778, 0
8, 125, 0.449387, 0.656581, 1
10, 124, 0.483148, 0.641155, 0
44, 112, 0.552021, 1.80955, 0
23, 141, 0.553927, 0.604049, 3
27, 126, 0.597086, 0.757125, 3
21, 146, 0.627497, 0.747585, 2
42, 117, 0.650707, 0.651989, 0
29, 117, 0.652693, 0.726352, 0
42, 121, 0.670388, 3.29231, 0
49, 143, 0.689643, 0.840163, 1
29, 123, 0.733344, 3.18937, 0
21, 115, 0.750728, 2.06415, 2
15, 141, 0.753634, 0.833119, 2
38, 113, 0.755621, 2.12501, 3
19, 117, 0.764899, 0.796916, 0
23, 134, 0.777102, 1.64539, 2
3, 136, 0.782098, 0.837029, 0
21, 117, 0.796229, 0.801004, 2
21, 117, 0.805565, 0.877196, 2
49, 139, 0.852286, 1.06413, 3
21, 149, 0.856134, 2.57402, 0
41, 109, 0.864825, 1.0674, 2
3, 136, 0.877379, 3.74949, 0
47, 106, 0.877526, 1.10056, 0
29, 121, 0.88355, 1.72839, 0
8, 130, 0.88964, 0.957134, 2
48, 135, 0.896147, 1.56822, 0
39, 134, 0.918082, 1.39224, 0
22, 104, 0.924412, 0.929248, 0
10, 117, 0.924994, 0.980652, 1
21, 148, 0.930748, 1.25457, 0
15, 119, 0.947689, 1.0511, 2
27, 140, 0.953511, 1.01119, 3
41, 117, 0.980773, 1.15879, 3
49, 130, 0.984796, 1.43584, 3
4, 138, 1.00557, 1.66837, 0
16, 143, 1.01895, 2.40459, 0
30, 128, 1.03274, 2.78808, 0
3, 102, 1.03564, 1.10639, 0
27, 148, 1.04004, 4.01062, 0
27, 130, 1.04863, 1.34377, 3
15, 126, 1.07469, 1.1531, 2
28, 104, 1.07582, 1.26332, 0
34, 139, 1.07993, 1.29001, 1
39, 125, 1.08517, 1.3351, 0
4, 109, 1.14039, 1.58309, 1
21, 117, 1.15397, 1.15609, 2
41, 132, 1.16216, 1.88138, 1
1, 128, 1.16231, 1.28684, 0
15, 141, 1.16808, 1.75048, 2
29, 140, 1.17405, 1.31989, 0
43, 106, 1.18924, 1.44562, 1
22, 117, 1.20216, 1.28286, 0
8, 117, 1.22236, 1.22387, 2
3, 121, 1.23184, 1.60277, 0
24, 139, 1.23946, 1.54413, 0
44, 137, 1.26019, 1.50583, 2
8, 112, 1.26023, 1.72734, 0
34, 119, 1.26467, 1.63893, 1
42, 117, 1.27156, 1.3357, 0
49, 122, 1.2895, 1.9276, 1
19, 105, 1.31341, 1.64435, 0
4, 129, 1.31958, 1.33496, 1
25, 150, 1.32556, 1.36309, 0
34, 150, 1.32802, 1.60867, 0
28, 117, 1.32999, 1.38818, 2
22, 117, 1.33956, 1.382, 0
2, 128, 1.34132, 1.82955, 0
27, 124, 1.34928, 1.3904, 2
8, 125, 1.37878, 1.72734, 1
22, 104, 1.38296, 2.05086, 0
4, 137, 1.38854, 1.51637, 1
27, 134, 1.39888, 1.74219, 2
39, 109, 1.40165, 2.56794, 0
49, 148, 1.41071, 1.46347, 0
28, 141, 1.41957, 1.49526, 2
41, 117, 1.42131, 1.82299, 3
12, 140, 1.43574, 1.63217, 1
12, 129, 1.4482, 2.45974, 0
22, 148, 1.46461, 1.52176, 0
43, 125, 1.47527, 2.09379, 0
27, 124, 1.48655, 1.56192, 2
10, 123, 1.48771, 1.65207, 0
49, 150, 1.49436, 1.80642, 1
42, 129, 1.49964, 1.56863, 0
29, 106, 1.49997, 2.20294, 0
39, 133, 1.51688, 1.66994, 0
44, 130, 1.5193, 1.7982, 3
25, 141, 1.52583, 1.83538, 0
22, 115, 1.52798, 5.61882, 0
38, 141, 1.53842, 1.59212, 3
1, 128, 1.55075, 1.85015, 0
13, 126, 1.55256, 3.24687, 3
28, 146, 1.56181, 1.56918, 2
24, 139, 1.56249, 1.89868, 0
21, 148, 1.57784, 1.61588, 0
34, 124, 1.58404, 3.10067, 0
43, 135, 1.58481, 1.61427, 1
42, 135, 1.59515, 3.29231, 0
4, 102, 1.60852, 2.37546, 0
43, 129, 1.63863, 1.72301, 0
47, 138, 1.64245, 1.76337, 0
3, 149, 1.65839, 1.81439, 0
42, 140, 1.66941, 1.83203, 0
23, 141, 1.66958, 1.79668, 3
22, 124, 1.67612, 2.42246, 0
4, 117, 1.68233, 1.80704, 2
10, 119, 1.68274, 2.21865, 1
34, 148, 1.68499, 4.10893, 0
49, 130, 1.68862, 1.89065, 3
26, 139, 1.71744, 2.39567, 0
15, 104, 1.73059, 2.04643, 0
26, 143, 1.75745, 1.80105, 0
47, 109, 1.7664, 2.22498, 0
28, 134, 1.77498, 2.10214, 1
39, 133, 1.78264, 2.0036, 0
16, 134, 1.79538, 2.08454, 1
18, 138, 1.79838, 2.20285, 0
4, 123, 1.80782, 2.48359, 1
21, 117, 1.8239, 1.83386, 2
27, 133, 1.82836, 2.25349, 0
3, 130, 1.83123, 2.88847, 0
44, 117, 1.8348, 1.90409, 3
23, 150, 1.83618, 2.32666, 1
14, 141, 1.83869, 7.30823, 0
19, 141, 1.84178, 2.84292, 0
10, 123, 1.85598, 2.87132, 0
41, 112, 1.86678, 4.68554, 0
4, 140, 1.8682, 2.0603, 2
47, 112, 1.86823, 1.96774, 0
12, 130, 1.87847, 1.98346, 1
41, 140, 1.88242, 2.06367, 3
25, 105, 1.88448, 2.06481, 0
1, 143, 1.90131, 2.34779, 0
38, 122, 1.91504, 1.94726, 1
4, 125, 1.91704, 2.09029, 1
44, 117, 1.9283, 1.94797, 3
44, 149, 1.93655, 2.66545, 1
26, 113, 1.95279, 2.35247, 0
49, 117, 1.95781, 2.27097, 3
44, 124, 1.9774, 2.05126, 2
49, 130, 1.98828, 3.25668, 3
25, 139, 2.0128, 5.92978, 0
3, 102, 2.02955, 2.22476, 0
