male.id, female.id, start.time, end.time, proximity
13, 137, 0.00011876, 8.36454, 0
50, 133, 0.00017539, 0.138388, 1
21, 140, 0.00026307, 0.424585, 2
1, 147, 0.00039469, 9.17518, 0
47, 106, 0.00048959, 12.393, 0
37, 138, 0.00051329, 5.27009, 0
32, 108, 0.00054329, 1.71985, 0
13, 134, 0.00055607, 0.736684, 0
49, 126, 0.00087274, 10.4644, 0
31, 107, 0.00095615, 7.06569, 0
33, 111, 0.00101712, 4.42936, 2
5, 138, 0.00107237, 2.36056, 0
28, 144, 0.00120805, 12.0283, 0
17, 125, 0.00126512, 0.221008, 2
35, 117, 0.00167775, 0.623597, 0
24, 147, 0.00181966, 0.266898, 0
2, 106, 0.00218003, 0.0586665, 1
15, 102, 0.00229725, 5.15814, 0
36, 118, 0.00233176, 4.19784, 0
48, 150, 0.00278688, 0.417429, 0
4, 120, 0.00310629, 2.9986, 0
24, 107, 0.0031306, 0.884122, 0
14, 117, 0.00323598, 2.39954, 1
3, 109, 0.00345883, 3.30787, 0
14, 133, 0.0035629, 1.28366, 0
3, 116, 0.00477065, 1.01196, 0
30, 139, 0.00575374, 0.0855658, 0
44, 105, 0.00607163, 13.1731, 0
42, 111, 0.00653575, 1.63697, 0
17, 104, 0.00654392, 1.04073, 0
10, 139, 0.00685917, 1.94591, 0
7, 114, 0.0071283, 1.11512, 2
17, 120, 0.00967924, 0.538809, 0
9, 125, 0.00973405, 0.260111, 0
15, 123, 0.0101718, 0.678599, 0
26, 135, 0.0118139, 3.5599, 3
27, 133, 0.0120502, 3.31596, 0
6, 121, 0.014647, 3.43473, 1
1, 144, 0.0149141, 2.1049, 0
38, 128, 0.0158285, 1.95383, 1
27, 105, 0.0170107, 1.43272, 0
7, 143, 0.0230966, 1.02463, 1
36, 140, 0.0236871, 0.433742, 1
43, 118, 0.0320782, 4.33137, 0
38, 119, 0.0325467, 2.5461, 0
4, 150, 0.0347614, 0.664006, 0
30, 133, 0.0359217, 0.0540639, 0
16, 138, 0.0397934, 1.02261, 0
42, 126, 0.0404189, 1.32119, 0
6, 148, 0.0426028, 0.326711, 2
2, 103, 0.0431024, 0.669944, 2
37, 144, 0.051014, 0.371214, 0
48, 137, 0.0516612, 0.204151, 2
11, 139, 0.058127, 4.34561, 0
31, 108, 0.0603815, 0.0940833, 0
26, 142, 0.0631348, 0.245629, 1
29, 117, 0.0661354, 2.27593, 0
6, 106, 0.112487, 0.218, 1
5, 148, 0.118845, 1.98246, 0
36, 108, 0.156414, 0.54397, 0
2, 114, 0.158688, 0.202762, 1
31, 109, 0.178134, 3.31935, 0
48, 102, 0.181999, 0.435276, 1
50, 118, 0.192696, 0.807493, 0
49, 114, 0.222115, 0.519793, 0
9, 125, 0.265349, 7.65024, 0
2, 106, 0.266021, 0.758008, 1
43, 107, 0.269129, 0.800738, 0
