male.id, female.id, start.time, end.time, proximity
5, 30, 0.059896, 4.28085, 0
2, 30, 0.090331, 2.48024, 0
9, 28, 0.121522, 8.89729, 0
10, 21, 1.81737, 2.27333, 1
2, 30, 3.01568, 4.00806, 0
10, 21, 3.23821, 4.03662, 1
10, 21, 4.41044, 5.48802, 1
2, 30, 4.47958, 4.81167, 0
8, 29, 4.84127, 5.96648, 3
10, 21, 5.70223, 5.71108, 1
8, 29, 6.12809, 7.8518, 3
10, 21, 6.37042, 7.55461, 1
10, 21, 8.01789, 11.2829, 1
8, 29, 8.08628, 9.00649, 3
3, 24, 8.50774, 9.71563, 1
8, 29, 9.00918, 10.8534, 3
3, 24, 10.2501, 10.3567, 1
3, 23, 10.4254, 12.3592, 0
8, 29, 10.9026, 11.6037, 3
10, 21, 11.6363, 12.4576, 1
8, 29, 11.6413, 11.6827, 3
3, 24, 11.7861, 11.864, 1
8, 29, 11.9289, 13.4515, 3
3, 24, 12.3915, 13.0468, 1
3, 23, 12.9104, 15.6757, 0
8, 29, 13.4995, 14.9662, 3
8, 24, 13.7687, 14.556, 2
3, 25, 14.3908, 14.4885, 2
10, 21, 14.6248, 15.5703, 1
3, 25, 14.9109, 15.0117, 2
8, 29, 15.0456, 15.6078, 3
3, 24, 15.6003, 17.5815, 1
8, 29, 15.6407, 16.0168, 3
6, 26, 15.8472, 16.2608, 0
8, 29, 16.0863, 16.9576, 3
6, 26, 16.2666, 24.7916, 0
8, 29, 17.164, 18.9661, 3
3, 24, 17.5887, 18.2957, 1
3, 23, 18.4476, 21.3264, 0
6, 27, 18.6929, 21.4897, 0
8, 29, 19.026, 19.8596, 3
3, 25, 19.4064, 21.8553, 2
8, 29, 20.0094, 20.5481, 3
8, 29, 20.7621, 21.6436, 3
8, 29, 21.7045, 22.0278, 3
3, 23, 21.9805, 22.8622, 0
8, 29, 22.0788, 24.0899, 3
3, 24, 22.4547, 22.4788, 1
3, 23, 22.911, 25.0363, 0
6, 27, 23.6417, 23.8437, 0
8, 29, 24.2411, 24.7784, 3
11, 31, 24.3398, Inf, 0
8, 23, 24.3704, 24.625, 0
8, 23, 24.7825, Inf, 0
8, 29, 24.8776, 25.0347, 3
6, 26, 24.9559, Inf, 0
6, 27, 25.079, Inf, 0
3, 23, 25.1334, 26.3663, 0
8, 29, 25.3364, 25.7244, 3
