male.id, female.id, start.time, end.time, proximity
28, 123, 1.2557, 2.16989, 0
14, 126, 1.2763, 1.3585, 2
38, 150, 1.2846, 3.12536, 0
23, 107, 1.31756, 2.01745, 2
49, 121, 1.3232, 2.42044, 0
45, 130, 1.32837, 1.34234, 2
28, 140, 1.36326, 1.75895, 2
35, 143, 1.37539, 1.67641, 1
29, 146, 1.38242, 1.40187, 3
17, 119, 1.3889, 2.4804, 1
48, 112, 1.39367, 1.71311, 1
14, 126, 1.43066, 1.43623, 2
45, 138, 1.459, 2.04474, 0
29, 146, 1.46607, 1.71365, 3
45, 144, 1.47065, 1.50615, 1
3, 137, 1.4731, 1.82151, 3
12, 123, 1.47941, 2.48743, 0
49, 115, 1.48947, 3.39366, 0
18, 126, 1.49249, 1.67691, 0
2, 133, 1.55523, 1.90899, 0
7, 114, 1.55587, 2.49238, 1
14, 101, 1.5628, 1.89266, 2
25, 148, 1.57156, 2.06132, 0
22, 147, 1.57398, 1.58636, 2
25, 101, 1.58597, 1.7656, 0
45, 147, 1.60459, 1.67072, 2
44, 147, 1.60629, 1.74037, 2
11, 130, 1.64941, 1.70105, 2
12, 146, 1.65873, 1.70094, 1
29, 114, 1.66906, 2.42206, 1
35, 126, 1.69598, 2.34114, 1
14, 143, 1.70053, 2.03948, 2
22, 147, 1.70192, 2.18333, 2
48, 148, 1.71409, 1.87014, 2
44, 138, 1.72212, 2.44932, 0
1, 146, 1.73504, 2.20635, 2
45, 130, 1.73881, 2.17692, 2
14, 144, 1.74689, 1.8316, 2
29, 140, 1.76626, 1.88334, 3
25, 112, 1.77239, 5.34285, 0
27, 111, 1.77631, 2.15375, 0
11, 146, 1.78073, 2.48918, 2
11, 114, 1.80955, 2.10756, 0
27, 108, 1.81689, 1.97673, 2
6, 137, 1.82287, 3.07556, 3
11, 137, 1.82705, 2.8839, 2
3, 104, 1.83347, 3.88253, 2
33, 143, 1.88386, 2.2871, 0
35, 107, 1.89186, 2.19984, 2
14, 147, 1.8945, 2.46282, 3
1, 104, 1.93616, 2.83632, 1
28, 146, 1.94012, 2.19307, 2
42, 150, 1.95174, 2.90326, 0
3, 133, 1.95659, 2.4842, 3
49, 126, 1.96709, 2.02701, 0
25, 136, 1.97283, 2.40872, 1
2, 119, 1.97499, 3.46109, 0
35, 120, 2.025, 2.07774, 1
7, 137, 2.03135, 2.17375, 3
45, 108, 2.04589, 2.7232, 1
27, 121, 2.05384, 2.4761, 0
6, 107, 2.07598, 2.08408, 3
39, 150, 2.09329, 2.51764, 0
23, 109, 2.09733, 2.21036, 2
17, 134, 2.11502, 2.34652, 0
14, 144, 2.14104, 3.5774, 2
25, 132, 2.15088, 3.33841, 0
48, 139, 2.16005, 2.57432, 2
22, 144, 2.16392, 2.18405, 1
12, 130, 2.18336, 3.76722, 1
22, 107, 2.20556, 5.10536, 2
