"","age","simulated male","simulated female","empirical male","empirical female"
"10","0-10",0.252699784017279,0.237687366167024,0.213,0.202
"20","10-20",0.222462203023758,0.177730192719486,0.23,0.219
"30","20-30",0.157667386609071,0.162740899357602,0.185,0.172
"40","30-40",0.144708423326134,0.149892933618844,0.133,0.131
"50","40-50",0.0950323974082073,0.115631691648822,0.104,0.113
"60","50-60",0.0755939524838013,0.0728051391862955,0.0680000000000001,0.078
"70","60-70",0.0367170626349892,0.0513918629550321,0.04,0.05
"80","70-80",0.0107991360691144,0.0171306209850107,0.0189999999999999,0.0249999999999999
"89","80+",0,0.00214132762312635,0.005,0.00800000000000001
