"","age","empirical.male","simulated.male","empirical.female","simulated.female"
"1","0-10",21.3,24.6,20.2,25
"2","10-20",23,18.5,21.9,19
"3","20-30",18.5,17.5,17.2,18.7
"4","30-40",13.3,14.3,13.1,14.1
"5","40-50",10.4,11,11.3,10
"6","50-60",6.8,7.2,7.8,5.7
"7","60-70",4,4.2,5,4.4
"8","70-80",1.9,1.5,2.5,2.8
"9","80  +",0.5,1.3,0.8,0.5
