"","age","simulated male","simulated female","empirical male","empirical female"
"10","0-10",0.148373983739837,0.145228215767635,0.14,0.127
"20","10-20",0.191056910569106,0.161825726141079,0.18,0.175
"30","20-30",0.16869918699187,0.176348547717842,0.157,0.159
"40","30-40",0.184959349593496,0.201244813278008,0.193,0.193
"50","40-50",0.142276422764228,0.141078838174274,0.135,0.134
"60","50-60",0.0772357723577236,0.074688796680498,0.098,0.099
"70","60-70",0.0670731707317073,0.0560165975103734,0.0609999999999999,0.0630000000000001
"80","70-80",0.0101626016260163,0.033195020746888,0.032,0.0379999999999999
"89","80+",0.00203252032520318,0.0020746887966806,0.00700000000000012,0.012
