"","age","simulated male","simulated female","empirical male","empirical female"
"10","0-10",0.163900414937759,0.132352941176471,0.141,0.13
"20","10-20",0.12448132780083,0.136554621848739,0.152,0.141
"30","20-30",0.174273858921162,0.134453781512605,0.14,0.132
"40","30-40",0.161825726141079,0.144957983193277,0.146,0.141
"50","40-50",0.163900414937759,0.170168067226891,0.155,0.152
"60","50-60",0.0912863070539419,0.100840336134454,0.119,0.122
"70","60-70",0.0663900414937759,0.0819327731092437,0.074,0.0790000000000001
"80","70-80",0.033195020746888,0.0630252100840336,0.049,0.0629999999999999
"89","80+",0.00414937759336098,0.0189075630252101,0.024,0.044
